Ticker,Expected Return Daily,Standard Deviation
AAPL,0.0011821104291984813,0.01995566344751247
AMZN,0.0009232474703117925,0.022655156033836003
GOOGL,0.0010222520787023924,0.020472367206123596
MSFT,0.0009878210960432897,0.019211447678595586
NVDA,0.003049867093073662,0.033940476991347
TSLA,0.0029974098063984965,0.0423203849749529
