Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,77.06425476074219,93.08200073242188,72.95967864990234,157.54244995117188,6.235283851623535,37.654666900634766,78.27961624864055,94.74949645996094,74.35450680018036,159.91933786769545,6.4598218835138725,38.25733184814453,76.87299020657808,92.37200164794922,72.8108844266279,156.97925634771383,6.181016268171984,36.95066833496094,77.53393791090298,94.56849670410156,74.28583487962034,159.90024236223502,6.410035013873357,38.04199981689453,146537600,75324000,29786000,24918100,373512000,215304000
2020-01-27,74.79816436767578,91.41699981689453,71.24588012695312,154.90785217285156,5.9793806076049805,37.201332092285156,75.48089322464955,92.05000305175781,71.48722657038118,155.95788658346538,6.030411937538711,37.62933349609375,73.81279759380895,90.76699829101562,70.63728617423324,152.92234182907538,5.780980460009184,35.95199966430664,75.06689673049003,91.0,71.2364267268566,153.8291817842759,5.930589397272543,36.132667541503906,161940000,70570000,34132000,32078100,470536000,204121500
2020-01-28,76.9141616821289,92.6624984741211,72.17991638183594,157.9434051513672,6.172802925109863,37.793331146240234,77.08605376922371,92.90550231933594,72.39388973398827,158.22976494589605,6.205164064409051,38.45399856567383,75.58258723533865,91.5009994506836,71.17770407698895,155.66197987278883,5.992076808995489,37.2053337097168,75.6818509443487,92.0250015258789,71.74399693020122,156.3397174739805,6.0453487415495974,37.89933395385742,162234000,56160000,29724000,24899900,310976000,176827500
2020-01-29,78.52416229248047,92.9000015258789,72.48844146728516,160.40615844726562,6.112311840057373,38.732666015625,79.37395133976464,93.73750305175781,72.85867308700175,161.0839104943588,6.194459855480185,39.31999969482422,77.80753513570895,92.7509994506836,71.92563382387546,158.16292458122416,6.0724820532193915,37.82866668701172,78.5507976259598,93.19999694824219,72.5760202015047,160.2152470960965,6.158364393072457,38.37933349609375,216229200,41760000,21566000,34754500,258848000,267022500
2020-01-30,78.41036224365234,93.53399658203125,72.36651611328125,164.93084716796875,6.119032859802246,42.72066879272461,78.46362551493233,93.64350128173828,72.41627364413384,166.14315693787148,6.132475478552702,43.391998291015625,77.17078871761717,92.53050231933594,71.40859442553979,163.0312448171451,5.959466810133274,41.20000076293945,77.60415772537527,92.9000015258789,71.56285567943894,166.14315693787148,6.014480793841913,42.16133117675781,126743200,126548000,27110000,51597500,290504000,435085500
2020-01-31,74.93373107910156,100.43599700927734,71.29812622070312,162.49667358398438,5.885531902313232,43.371334075927734,78.12224171387334,102.78600311279297,73.13384738601565,164.56809162420643,6.085176487397155,43.53333282470703,74.6383634318401,100.1135025024414,71.01348397202851,161.876208045128,5.843711276184004,42.167999267578125,77.69855903722024,102.57350158691406,73.04377812590472,164.386735306438,6.0732276014165905,42.66666793823242,199588400,311346000,43822000,36142700,370420000,235789500
2020-02-03,74.72796630859375,100.20999908447266,73.77727508544922,166.4581756591797,5.982615947723389,52.0,75.89732764326911,102.42500305175781,73.96139998970068,166.57271957325094,6.002032530375572,52.409332275390625,73.16881293673191,100.01249694824219,72.48395879647471,162.65897076563186,5.86113624602365,44.90133285522461,73.67238698147514,100.52999877929688,72.73475864749643,162.6876067441497,5.8673594853453634,44.91266632080078,173788400,117834000,71636000,30107000,255564000,705975000
2020-02-04,77.19500732421875,102.4834976196289,71.92662048339844,171.93739318847656,6.151891708374023,59.137332916259766,77.3862719133486,102.98999786376953,73.01789968192739,172.43377438699721,6.171059973771777,64.59933471679688,75.93122176752728,100.76850128173828,70.76318413051645,168.300478542477,6.074473681129222,55.59199905395508,76.33795548064964,101.49400329589844,72.37846261578684,169.09277453982233,6.124509353868219,58.86399841308594,136616400,105786000,95880000,36433300,271544000,914082000
2020-02-05,77.8244857788086,101.99349975585938,71.95845794677734,171.72735595703125,6.242254257202148,48.97999954223633,78.62585099313237,103.5510025024414,72.88054776477253,175.83201509954588,6.283079226385113,56.39866638183594,77.21922459648295,101.5999984741211,71.14385592884095,170.3050541669698,6.158861317756116,46.94066619873047,78.32563642255818,103.5510025024414,72.83227848355087,175.6697397406745,6.272872865388671,54.88399887084961,118826800,87524000,36376000,39186300,208220000,726357000
2020-02-06,78.73477935791016,102.5114974975586,73.44735717773438,175.28797912597656,6.329133033752441,49.930667877197266,78.73720276650342,102.81500244140625,73.72553013530305,175.46935005173762,6.329133033752441,53.05533218383789,77.53636686633509,101.23999786376953,72.17892341944845,171.88015168662866,6.195456077136111,45.79999923706055,78.09562750675829,102.0510025024414,72.25356352243467,172.74881529653373,6.276608438314727,46.66133117675781,105425600,63660000,37822000,27751400,218284000,598212000
2020-02-07,77.66458129882812,103.96399688720703,73.60359954833984,175.5361328125,6.262916088104248,49.871334075927734,78.48240856737728,104.92649841308594,73.90913797820706,177.19709227933504,6.311209232941691,51.31666564941406,77.17194309043332,101.90499877929688,72.9218613742501,174.19018365311317,6.237524582680928,48.66666793823242,78.2324494253046,102.09950256347656,73.02038933632561,174.54338497300552,6.289053983566939,48.70333480834961,117684000,101906000,28360000,33529100,189752000,255952500
2020-02-10,78.03343200683594,106.69550323486328,75.0740737915039,180.1276397705078,6.546203136444092,51.41866683959961,78.03343200683594,106.77999877929688,75.0850230307296,180.2612791983537,6.546949526562297,54.66600036621094,76.16480809009461,104.24800109863281,73.40903771305075,174.9252279903285,6.280590811784092,50.15999984741211,76.24488890405078,104.25050354003906,73.51005621420106,175.24023833430923,6.2855695947227,53.33333206176758,109348800,101124000,38302000,35844300,529608000,370338000
2020-02-11,77.56263732910156,107.54000091552734,75.14374542236328,176.06114196777344,6.668677806854248,51.62533187866211,78.60373238920275,109.29750061035156,76.1300350378507,182.03675336983713,6.783436232725443,52.23400115966797,77.34422769426291,106.80000305175781,74.91434289980158,175.1638425690757,6.5925042350707015,50.53333282470703,78.53093164624849,107.54499816894531,75.30348131760789,181.98902188925905,6.654488798307452,51.25266647338867,94323200,114920000,34852000,53159900,638556000,175462500
2020-02-12,79.40458679199219,108.0,75.57020568847656,176.3189239501953,6.784430980682373,51.15266799926758,79.40943770675925,109.01249694824219,75.65330449075212,177.40713497494,6.790903492342867,52.650001525878906,78.0140331926388,107.7645034790039,75.07457418082535,173.58884863329462,6.682617118783426,50.891334533691406,78.0140331926388,108.16000366210938,75.4323606906229,177.1493965685091,6.721450764338016,51.858001708984375,113730400,66686000,31042000,47062900,374644000,180337500
2020-02-13,78.8391342163086,107.49349975585938,75.3094482421875,175.36431884765625,6.740617275238037,53.599998474121094,79.16675238353734,108.51399993896484,75.93445842434129,177.76982829589463,6.807829396126115,54.53333282470703,78.47026476188894,107.0999984741211,74.842176953332,174.56246779930643,6.699045449862739,49.0,78.67411425559266,107.24949645996094,75.14075251712693,174.7629342027948,6.726428271291815,49.45600128173828,94747600,60636000,22914000,35295800,528016000,394339500
